state,date,income_mean,income_median,year
Terengganu,1970-01-01,173,,1970
Terengganu,1974-01-01,206,130.0,1974
Terengganu,1976-01-01,339,199.0,1976
Terengganu,1979-01-01,360,258.0,1979
Terengganu,1984-01-01,756,524.0,1984
Terengganu,1987-01-01,694,472.0,1987
Terengganu,1989-01-01,759,520.0,1989
Terengganu,1992-01-01,939,680.0,1992
Terengganu,1995-01-01,1117,756.0,1995
Terengganu,1997-01-01,1497,1026.0,1997
Terengganu,1999-01-01,1599,1155.0,1999
Terengganu,2002-01-01,1837,1331.0,2002
Terengganu,2004-01-01,1984,1353.0,2004
Terengganu,2007-01-01,2463,1796.0,2007
Terengganu,2009-01-01,3017,2096.0,2009
Terengganu,2012-01-01,3967,3034.0,2012
Terengganu,2014-01-01,4816,3777.0,2014
Terengganu,2016-01-01,5776,4694.0,2016
Terengganu,2019-01-01,6815,5545.0,2019
Terengganu,2020-01-01,6051,4790.0,2020
Terengganu,2022-01-01,7248,5878.0,2022
Kuala Lumpur,1976-01-01,1058,645.0,1976
Kuala Lumpur,1984-01-01,1920,1217.0,1984
Kuala Lumpur,1987-01-01,1790,1180.0,1987
Kuala Lumpur,1989-01-01,1824,1294.0,1989
Kuala Lumpur,1992-01-01,2429,1753.0,1992
Kuala Lumpur,1995-01-01,3371,2321.0,1995
Kuala Lumpur,1997-01-01,4768,3090.0,1997
Kuala Lumpur,1999-01-01,4105,2828.0,1999
Kuala Lumpur,2002-01-01,4930,3364.0,2002
Kuala Lumpur,2004-01-01,5011,3336.0,2004
Kuala Lumpur,2007-01-01,5322,3697.0,2007
Kuala Lumpur,2009-01-01,5488,4409.0,2009
Kuala Lumpur,2012-01-01,8586,5847.0,2012
Kuala Lumpur,2014-01-01,10629,7620.0,2014
Kuala Lumpur,2016-01-01,11692,9073.0,2016
Kuala Lumpur,2019-01-01,13257,10549.0,2019
Kuala Lumpur,2020-01-01,11728,9093.0,2020
Kuala Lumpur,2022-01-01,13325,10234.0,2022
